Date,Algoritmo Genético,Markowitz,IBOV
2020-02-07,,,-0.012327458980814332
2020-02-10,,,-0.022745029950516527
2020-02-11,,,0.0015713169545967798
2020-02-12,,,0.01288306276586515
2020-02-13,,,0.004097577914749628
2020-02-14,,,-0.007023179095407506
2020-02-17,,,0.0010330757878289631
2020-02-18,,,-0.0018491188471220221
2020-02-19,,,0.011528778539803941
2020-02-20,,,-0.005243510721416711
2020-02-21,,,-0.013100095494400499
2020-02-26,,,-0.08222936018751614
2020-02-27,,,-0.10596405938015441
2020-02-28,,,-0.09565066412014911
2020-03-02,,,-0.07435541279624935
2020-03-03,,,-0.0838006771421127
2020-03-04,,,-0.06915530862053965
2020-03-05,,,-0.11248372254535954
2020-03-06,,,-0.1492577480684084
2020-03-09,,,-0.25282576612553154
2020-03-10,,,-0.1994617588332318
2020-03-11,,,-0.26060421911624254
2020-03-12,,,-0.36988453858841897
2020-03-13,,,-0.2822467228057989
2020-03-16,,,-0.38216859102352607
2020-03-17,,,-0.3522267557947736
2020-03-18,,,-0.4192638249848075
2020-03-19,,,-0.40678878374858907
2020-03-20,,,-0.41775327719420063
2020-03-23,,,-0.44812917788002404
2020-03-24,,,-0.3946609948780273
2020-03-25,,,-0.3492837919958326
2020-03-26,,,-0.325375466620366
2020-03-27,,,-0.36254015105477877
2020-03-30,,,-0.3520270856845209
2020-03-31,,,-0.3660908064936189
2020-04-01,,,-0.3839135341609511
2020-04-02,,,-0.37274937060508684
2020-04-03,,,-0.3963191249240382
2020-04-06,,,-0.35694938796770515
2020-04-07,,,-0.3371125965795637
2020-04-08,,,-0.31743206875596786
2020-04-09,,,-0.32561854327632556
2020-04-13,,,-0.3156003125271286
2020-04-14,,,-0.3062071360361138
2020-04-15,,,-0.3156437190728357
2020-04-16,,,-0.32448997308794125
2020-04-17,,,-0.3142633909193503
2020-04-20,,,-0.3144109731747544
2020-04-22,,,-0.2995312093063631
2020-04-23,,,-0.30833405677576153
2020-04-24,,,-0.3460283010678008
2020-04-27,,,-0.32078305408455576
2020-04-28,,,-0.2941053910929766
2020-04-29,,,-0.27796683739907946
2020-04-30,,,-0.3011025262609598
2020-05-04,,,-0.3152530601614719
2020-05-05,,,-0.3100876812223279
2020-05-06,,,-0.31362097404288525
2020-05-07,,,-0.3218248111815257
2020-05-08,,,-0.3032120843823244
2020-05-11,,,-0.3136122927337438
2020-05-12,,,-0.3239690945394561
2020-05-13,,,-0.32483722545359794
2020-05-14,,,-0.3140810834273804
2020-05-15,,,-0.32670370691900297
2020-05-18,,,-0.2951297855716637
2020-05-19,,,-0.29905373730358487
2020-05-20,,,-0.2940446219289864
2020-05-21,,,-0.27921694591544366
2020-05-22,,,-0.2866307839222151
2020-05-25,,,-0.25633301501866446
2020-05-26,,,-0.2580171889920997
2020-05-27,,,-0.23651358624880592
2020-05-28,,,-0.2451688514628002
2020-05-29,,,-0.24122753711259615
2020-06-01,,,-0.23066238388748972
2020-06-02,,,-0.20960152791040843
2020-06-03,,,-0.19262088722979387
2020-06-04,,,-0.1854414445698408
2020-06-05,,,-0.17842694678357462
2020-06-08,,,-0.15231356888618774
2020-06-09,,,-0.16010938449518164
2020-06-10,,,-0.17800156263564526
2020-06-12,,,-0.19441791822206778
2020-06-15,,,-0.19805538675232215
2020-06-16,,,-0.18802847469398376
2020-06-17,,,-0.17052695546488394
2020-06-18,,,-0.16550915878114403
2020-06-19,,,-0.16162861359492986
2020-06-22,,,-0.1723587116937232
2020-06-23,,,-0.1668113551523568
2020-06-24,,,-0.18068408716034368
2020-06-25,,,-0.16674190467922545
2020-06-26,,,-0.1853980380241339
2020-06-29,,,-0.16889486934629727
2020-06-30,,,-0.17478947825332047
2020-07-01,,,-0.16483201666811342
2020-07-02,,,-0.16455421477558796
2020-07-03,,,-0.15995312093063607
2020-07-06,,,-0.14109731747547494
2020-07-07,,,-0.15130653702578312
2020-07-08,,,-0.1338657869606733
2020-07-09,,,-0.1391613855369387
2020-07-10,,,-0.1315912839656217
2020-07-13,,,-0.14318083166941542
2020-07-14,,,-0.128049309835923
2020-07-15,,,-0.11632086118586649
2020-07-16,,,-0.1270683219029426
2020-07-17,,,-0.10679746505773025
2020-07-20,,,-0.0934456115982285
2020-07-21,,,-0.09445264345863302
2020-07-22,,,-0.09462626964146137
2020-07-23,,,-0.11196284399687417
2020-07-24,,,-0.111190207483288
2020-07-27,,,-0.09300286483201625
2020-07-28,,,-0.09619758659605826
2020-07-29,,,-0.08321034812049621
2020-07-30,,,-0.08838440836878159
2020-07-31,,,-0.10658911363833623
2020-08-03,,,-0.1073009809879325
2020-08-04,,,-0.12131261394218196
2020-08-05,,,-0.10754405764389208
2020-08-06,,,-0.0960500043406538
2020-08-07,,,-0.10776977168156887
2020-08-10,,,-0.10197065717510123
2020-08-11,,,-0.11299591978470269
2020-08-12,,,-0.11348207309662206
2020-08-13,,,-0.12786700234395254
2020-08-14,,,-0.1201232745898072
2020-08-17,,,-0.13538501606042097
2020-08-18,,,-0.1139421824811172
2020-08-19,,,-0.12445524785137507
2020-08-20,,,-0.11912492403854413
2020-08-21,,,-0.1186648146540491
2020-08-24,,,-0.11191943745116684
2020-08-25,,,-0.11348207309662217
2020-08-26,,,-0.12642590502647721
2020-08-27,,,-0.12645194895390144
2020-08-28,,,-0.11326504036808671
2020-08-31,,,-0.13734699192638167
2020-09-01,,,-0.11304800763955125
2020-09-02,,,-0.11527910408889586
2020-09-03,,,-0.12560986196718393
2020-09-04,,,-0.12108689990450483
2020-09-08,,,-0.1314350204010758
