Genetic,Markowitz
0.0021494146091151547,4.916149891792101e-16
0.0022011219989422365,2.194157368817703e-16
0.020259275724709137,0.0
0.00288529706899691,0.0
0.023188404007864344,0.013760373671215286
0.006570037471725306,1.2942692548416563e-17
0.09002681133039378,0.1616063179589863
0.0018647354151674687,0.0
0.17779388794633022,0.29263471294056903
0.003346214617327838,5.04361838531058e-16
0.04695408480405731,0.0
0.0017612711156254886,0.0
0.0021977219358579217,0.0
0.025486136489936792,0.0
0.1321409140011547,0.11347846706808948
0.22524162689049207,0.27668246710307265
0.0825589994479615,0.10698824301450208
0.020962782342098762,8.504026682610512e-17
0.007640838544050698,4.168223182451473e-16
0.001465880940208161,3.924428082508736e-16
0.0002502225972214084,4.053396272313594e-16
0.033672098397551316,0.03484941824356537
0.05890496060454539,0.0
0.004273747640907517,0.0
0.005081449433277601,0.0
0.0006615607153145958,0.0
0.020460503909166396,0.0
